price_per_m,coors
216666.66666666666,"37.463853,55.72373399999999"
250000.0,"37.614267,55.711107999999996"
169230.76923076922,"37.755724,55.666452"
121212.12121212122,"37.536059,55.774294"
194736.84210526315,"37.708248,55.738119999999995"
123786.40776699028,"37.530759,55.894167"
236842.1052631579,"37.465685,55.731733999999996"
100547.87564766839,"37.417318,55.633345"
168421.05263157896,"37.555884999999996,55.879484999999995"
144257.7030812325,"37.823951,55.720023"
171604.93827160494,"37.531038,55.83433"
161111.11111111112,"37.592258,55.867667000000004"
234899.30555555556,"37.638054,55.800473"
239220.0854700855,"37.638054,55.800473"
226151.04166666666,"37.638054,55.800473"
131578.94736842104,"37.541072,55.923356999999996"
318142.7343078246,"37.470634999999994,55.641121999999996"
245000.0,"37.552325,55.682538"
136956.52173913043,"37.448959,55.857507999999996"
205882.35294117648,"37.572288,55.794953"
189560.43956043955,"37.46025,55.799168"
181034.4827586207,"37.546498,55.60831700000001"
147826.08695652173,"37.617986,55.601996"
265000.0,"37.571943,55.81717"
128603.1042128603,"37.768148,55.807415"
161242.60355029587,"37.505705,55.850343"
112941.17647058824,"37.514077,55.527581000000005"
287500.0,"37.59851,55.826792000000005"
116650.0,"37.642123,55.589376"
174311.92660550456,"37.664473,55.836736"
122923.07692307692,"37.519197999999996,55.652151"
939110.513739546,"37.62599,55.736909"
205382.43626062325,"37.710826000000004,55.757242000000005"
147814.91002570695,"37.610574,55.680406999999995"
408333.3333333333,"37.415712,55.677788"
591954.2857142857,"37.62599,55.736909"
153846.15384615384,"37.786024,55.668172999999996"
529409.9502487562,"37.62599,55.736909"
500869.1700960219,"37.62599,55.736909"
222352.9411764706,"37.419476,55.758959999999995"
148484.84848484848,"37.659892,55.594214"
110638.29787234042,"37.795232,55.634375"
287671.23287671234,"37.450790999999995,55.729904000000005"
315822.7848101266,"37.427721999999996,55.732124"
175641.02564102566,"37.588871000000005,55.89714"
151111.11111111112,"37.540281,55.764237"
128260.86956521739,"37.743543,55.625303"
698230.4387155133,"37.574399,55.757739"
336000.0,"37.54595,55.774664"
382859.3,"37.475162,55.711341000000004"
353028.7984111221,"37.501636,55.739644999999996"
148725.21246458925,"37.614276000000004,55.640213"
142201.83486238532,"37.85568,55.736017000000004"
140579.71014492755,"37.488844,55.81871999999999"
457291.6666666667,"37.509954,55.702881000000005"
408602.1505376344,"37.597019,55.76090500000001"
409836.0655737705,"37.622468,55.776462"
245283.01886792452,"37.569261,55.817239"
178992.01511335012,"37.429778999999996,55.820896999999995"
179099.50980392157,"37.429778999999996,55.820896999999995"
166666.66666666666,"37.664221999999995,55.867925"
178832.11678832117,"37.668875,55.871329"
187962.96296296295,"37.675199,55.864212"
147727.27272727274,"37.66495,55.888796"
189120.0,"37.739990999999996,55.729383999999996"
143730.8868501529,"37.672307,55.886175"
122368.42105263157,"37.85426,55.734775"
754740.5555555555,"37.520671,55.798480000000005"
180303.0303030303,"37.807952,55.805842000000005"
241379.3103448276,"37.608221,55.693794"
267441.8604651163,"37.633284,55.739259999999994"
243243.24324324325,"37.58287,55.705884"
228070.1754385965,"37.481271,55.773681999999994"
160681.81818181818,"37.649076,55.651862"
251664.44740346208,"37.672298,55.791208"
164233.57664233577,"37.542231,55.538438"
296774.1935483871,"37.534568,55.784769"
144444.44444444444,"37.542221999999995,55.9214"
177777.77777777778,"37.7585,55.654228"
170000.0,"37.658679,55.784349"
161598.440545809,"37.563143,55.888133999999994"
241666.66666666666,"37.488062,55.645192"
176923.07692307694,"37.613314,55.696067000000006"
140287.76978417265,"37.531855,55.548288"
123076.92307692308,"37.738692,55.763964"
154738.87814313345,"37.527301,55.547825"
246031.74603174604,"37.592321000000005,55.782856"
113333.33333333333,"37.676538,55.580162"
179629.62962962964,"37.674651000000004,55.685686"
415000.0,"37.64206,55.740593000000004"
600000.0,"37.64206,55.740593000000004"
630000.0,"37.64206,55.740593000000004"
650000.0,"37.64206,55.740593000000004"
141509.43396226416,"37.762516,55.72746"
314751.99481865286,"37.643865999999996,55.73085699999999"
383243.3994334278,"37.643865999999996,55.73085699999999"
155000.0,"37.587182,55.871587"
104687.5,"37.383103000000006,55.851647"
138983.05084745763,"37.870682,55.741358"
217441.86046511628,"37.677607,55.737095999999994"
217441.86046511628,"37.677607,55.737095999999994"
201282.05128205128,"37.451806,55.80651999999999"
380047.5059382423,"37.653954,55.762049"
177272.72727272726,"37.578675,55.651298"
143979.05759162302,"37.565326,55.567122"
130666.66666666667,"37.526123999999996,55.892844"
169082.12560386473,"37.436283,55.711016"
158333.33333333334,"37.894406,55.716701"
605164.7,"37.625073,55.767483999999996"
190322.5806451613,"37.703218,55.800711"
750000.0,"37.618390000000005,55.732498"
800000.0,"37.618390000000005,55.732498"
720000.0,"37.618390000000005,55.732498"
840000.0,"37.618390000000005,55.732498"
132051.28205128206,"37.926862,55.681275"
151956.52173913043,"37.550765000000006,55.665304000000006"
617515.0,"37.623393,55.768207999999994"
347048.8813559322,"37.643865999999996,55.73085699999999"
137681.15942028986,"37.826889,55.699557999999996"
127500.0,"37.927841,55.700354000000004"
347227.5,"37.643865999999996,55.73085699999999"
224654.37788018433,"37.546110999999996,55.761872"
146428.57142857142,"37.828003,55.802836"
464566.92913385824,"37.572306,55.704919999999994"
119230.76923076923,"37.363682,55.603618999999995"
142201.83486238532,"37.848781,55.681371999999996"
225294.11764705883,"37.555463,55.662953"
145333.33333333334,"37.53861,55.876228000000005"
404870.74468085106,"37.5546,55.762119999999996"
157446.8085106383,"37.590326,55.664009"
185937.5,"37.579798,55.541596"
137592.1375921376,"37.533697,55.549964"
147058.82352941178,"37.534316,55.545716000000006"
393390.9090909091,"37.57393,55.779566"
289536.8574908648,"37.635363,55.699585"
309523.8095238095,"37.803236,55.797306000000006"
260000.0,"37.474416999999995,55.772416"
222602.73972602742,"37.601717,55.791405000000005"
270000.0,"37.710889,55.799769999999995"
152127.6595744681,"37.838854,55.763478000000006"
214912.28070175438,"37.489931,55.65404100000001"
150000.0,"37.811303,55.816353"
1049775.5,"37.613440000000004,55.738252"
258333.33333333334,"37.46635,55.663314"
172727.27272727274,"37.425129999999996,55.655616"
164655.1724137931,"37.898682,55.715317000000006"
111904.76190476191,"37.927841,55.700354000000004"
139189.1891891892,"37.927203999999996,55.685173"
134375.0,"37.794837,55.717401"
191666.66666666666,"37.658473,55.763118000000006"
198500.0,"37.389607,55.893854000000005"
256944.44444444444,"37.490245,55.667122"
212500.0,"37.659605,55.81958"
371621.6216216216,"37.590578,55.7816"
108863.63636363637,"37.651181,55.603435"
156695.15669515668,"37.557367,55.874309"
139986.66666666666,"37.402794,55.713537"
148909.0909090909,"37.400719,55.713922"
113461.53846153847,"37.925874,55.686294"
176923.07692307694,"37.615569,55.661623"
196969.69696969696,"37.539015,55.641026000000004"
401621.6216216216,"37.591557,55.770973"
312500.0,"37.657583,55.858549"
165714.2857142857,"37.674535,55.875324"
179358.97435897434,"37.519521000000005,55.658891000000004"
215000.0,"37.584137,55.68140699999999"
163677.13004484304,"37.600495,55.621292000000004"
153260.86956521738,"37.601240999999995,55.857845999999995"
814594.2553191489,"37.583597999999995,55.735941000000004"
415000.0,"37.659254,55.719602"
335294.1176470588,"37.499318,55.805649"
335294.1176470588,"37.499318,55.805649"
292993.63057324843,"37.567869,55.766110999999995"
149500.0,"37.673742,55.576473"
128409.09090909091,"37.762264,55.823752"
244186.03488372092,"37.540156,55.68532"
275724.1379310345,"37.509397,55.661379000000004"
147727.27272727274,"37.488242,55.865733"
155357.14285714287,"37.636105,55.873732999999994"
137037.03703703705,"37.572278999999995,55.904074"
705731.4285714285,"37.649552,55.757212"
222300.0,"37.448375,55.82777900000001"
204477.61194029852,"37.491413,55.66013"
261083.74384236452,"37.654493,55.681443"
132692.3076923077,"37.574247,55.89224399999999"
175757.57575757575,"37.655454,55.647742"
172151.8987341772,"37.549624,55.877087"
152000.0,"37.599399,55.897634"
141989.50819672132,"37.424699,55.65227900000001"
54142.857142857145,"37.467895,55.584339"
143118.82352941178,"37.774751,55.670396999999994"
209271.52317880795,"37.710889,55.799769999999995"
936232.4193548387,"37.649552,55.757212"
136363.63636363635,"37.407303999999996,55.714845"
172727.27272727274,"37.397189000000004,55.741049"
1543787.5,"37.603235,55.759091000000005"
142571.42857142858,"37.570806,55.877561"
895396.75,"37.539078,55.747115"
146341.46341463414,"37.518695,55.845355000000005"
151851.85185185185,"37.596973999999996,55.884802"
178787.87878787878,"37.800892,55.816465"
137711.86440677964,"37.756425,55.677944999999994"
149425.28735632185,"37.627598,55.872753"
277777.7777777778,"37.632591999999995,55.780122"
352830.1886792453,"37.527903,55.723237"
133333.33333333334,"37.771238000000004,55.796142"
128846.15384615384,"37.584514,55.602617"
99799.99999999999,"37.548865,55.925022999999996"
100300.0,"37.548865,55.925022999999996"
207848.83720930232,"37.673268,55.678580000000004"
100800.0,"37.548865,55.925022999999996"
168750.0,"37.640596,55.87953100000001"
152000.0,"37.76592,55.635889"
156818.18181818182,"37.370643,55.847664"
132539.68253968254,"37.767025,55.67264599999999"
205357.14285714287,"37.556801,55.681996"
138989.16967509026,"37.793858,55.789846"
181459.56607495068,"37.48693,55.770401"
144354.83870967742,"37.56264,55.566063"
161764.70588235295,"37.773762,55.798287"
142000.0,"37.673742,55.576473"
163366.33663366336,"37.752886,55.820986"
153086.41975308643,"37.782162,55.74033000000001"
238435.88907014683,"37.635363,55.699585"
176072.40650406503,"37.635363,55.699585"
271866.3295269168,"37.635363,55.699585"
241346.15384615384,"37.5948,55.660922"
151025.64102564103,"37.573914,55.563421"
176072.40650406503,"37.635363,55.699585"
130573.24840764332,"37.83077,55.771398"
200000.0,"37.507071,55.756715"
899812.108559499,"37.598645,55.754197999999995"
165625.0,"37.859992,55.7396"
157258.06451612903,"37.742779999999996,55.797235"
295202.9520295203,"37.462953999999996,55.82001999999999"
158571.42857142858,"37.486562,55.619803000000005"
190909.0909090909,"37.572019,55.66297900000001"
174603.17460317462,"37.406873,55.713775"
308563.12348668283,"37.567921999999996,55.789056"
363128.49162011174,"37.515371,55.66989399999999"
258503.37398373982,"37.567921999999996,55.789056"
172741.6798732171,"37.394098,55.814988"
143678.16091954024,"37.717940999999996,55.745498"
141176.4705882353,"37.794548999999996,55.710727"
483146.06741573033,"37.483957000000004,55.832094999999995"
340000.0,"37.619558000000005,55.7278"
216666.66666666666,"37.817735,55.718304"
94037.8548895899,"37.937521000000004,55.70441999999999"
152272.72727272726,"37.424110999999996,55.858771"
690000.0,"37.64206,55.740593000000004"
179545.45454545456,"37.746759000000004,55.71854200000001"
737082.0668693009,"37.613018,55.74446"
2526197.727272727,"37.548851,55.743683999999995"
292134.8314606742,"37.664211,55.751928"
141025.64102564103,"37.363565,55.6375"
624039.0445567295,"37.520671,55.798480000000005"
525905.6318681319,"37.621371999999994,55.742154000000006"
165452.5386313466,"37.388762,55.908873"
224586.28841607567,"37.599831,55.596437"
129032.25806451612,"37.771840000000005,55.729579"
120000.0,"37.490003,55.884903"
140336.02584814216,"37.67131,55.579811"
165000.0,"37.500926,55.856598"
401691.3319238901,"37.567921999999996,55.789056"
161627.90697674418,"37.617123,55.630279"
111111.11111111111,"37.516996999999996,55.851893999999994"
111864.40677966102,"37.415684999999996,55.85517900000001"
498736.26373626373,"37.667456,55.764951"
197142.85714285713,"37.569369,55.649149"
112162.16216216216,"37.653976,55.604896"
169047.61904761905,"37.436553,55.717822"
300000.0,"37.514338,55.797493"
281250.0,"37.580202,55.79357099999999"
146153.84615384616,"37.555597999999996,55.546287"
232000.0,"37.509178000000006,55.754934999999996"
710526.3157894737,"37.527903,55.723237"
150909.0909090909,"37.535061999999996,55.551161"
241304.34782608695,"37.653864,55.76888100000001"
120227.27272727272,"37.497638,55.542126"
619140.0421052632,"37.576232,55.71253299999999"
682604.4216216216,"37.576232,55.71253299999999"
588235.2941176471,"37.576232,55.71253299999999"
370046.44194756553,"37.576232,55.71253299999999"
344278.2743362832,"37.576232,55.71253299999999"
343063.8888888889,"37.576232,55.71253299999999"
807691.7246376812,"37.576726,55.730892000000004"
1103119.5211267606,"37.576726,55.730892000000004"
239714.2857142857,"37.523438,55.683797999999996"
290980.0,"37.606974,55.710075"
445783.1325301205,"37.477624,55.71883100000001"
761864.406779661,"37.561958000000004,55.702165"
206688.96321070235,"37.603199,55.65375600000001"
360000.0,"37.527903,55.723237"
297322.037037037,"37.615955,55.723952000000004"
161111.11111111112,"37.456837,55.72598000000001"
234722.22222222222,"37.575926,55.782765000000005"
485714.28571428574,"37.465802000000004,55.819762"
200000.0,"37.424327000000005,55.656346"
102706.32124352331,"37.414421000000004,55.633661"
146946.5648854962,"37.741549,55.788722"
205882.35294117648,"37.431594,55.848155000000006"
174038.46153846153,"37.660224,55.885302"
178787.87878787878,"37.673987,55.704387"
237681.15942028986,"37.718973999999996,55.807238"
178750.0,"37.522513000000004,55.816404000000006"
132721.23893805308,"37.834497999999996,55.726913"
257668.7116564417,"37.484658,55.844111"
355555.55555555556,"37.549893,55.775397999999996"
257668.7116564417,"37.484658,55.844111"
450450.4504504505,"37.546525,55.774254000000006"
151612.90322580645,"37.557709,55.558651"
355555.55555555556,"37.549893,55.775397999999996"
450450.4504504505,"37.546525,55.774254000000006"
130555.55555555556,"37.392437,55.646812"
125471.69811320755,"37.893167,55.710976"
161111.11111111112,"37.847676,55.739554000000005"
195734.26573426573,"37.659515,55.83429"
322228.5512073272,"37.599301000000004,55.710661"
176626.82602921646,"37.399128999999995,55.803368000000006"
147222.22222222222,"37.789365999999994,55.72020500000001"
165000.0,"37.675828,55.576574"
194444.44444444444,"37.588449,55.809368000000006"
157777.77777777778,"37.815866,55.816773"
202941.17647058822,"37.609002000000004,55.709480000000006"
109482.75862068965,"37.836285,55.75718199999999"
140740.74074074073,"37.550934999999996,55.935813"
442857.14285714284,"37.625576,55.742291"
178010.47120418848,"37.580984,55.613677"
150000.0,"37.833006,55.72598000000001"
390069.64197530865,"37.547567,55.665639"
227848.1012658228,"37.471911,55.669731999999996"
232467.53246753247,"37.575154,55.780308999999995"
183725.0,"37.588781,55.597331999999994"
235000.0,"37.645123999999996,55.811358999999996"
240000.0,"37.645123999999996,55.811358999999996"
270196.5065502184,"37.509397,55.661379000000004"
421088.43537414965,"37.670914,55.71419100000001"
217422.98798798802,"37.645123999999996,55.811358999999996"
210784.99580888517,"37.645123999999996,55.811358999999996"
120000.0,"37.928893,55.708374"
1470273.8095238095,"37.610979,55.766698999999996"
122988.50574712643,"37.854225,55.682864"
181818.18181818182,"37.482592,55.646406000000006"
238549.6183206107,"37.572558,55.672016000000006"
158888.88888888888,"37.498851,55.616168"
145017.79359430604,"37.536984000000004,55.893001"
163750.0,"37.785198,55.723937"
160714.2857142857,"37.810845,55.802523"
184476.92307692306,"37.60452,55.642199"
680272.1088435374,"37.621462,55.764723"
169411.76470588235,"37.572046,55.798019"
130769.23076923077,"37.363924,55.643972999999995"
466306.1224489796,"37.617292,55.722905000000004"
159550.5617977528,"37.614490999999994,55.63596999999999"
148083.6559139785,"37.578094,55.849594999999994"
744680.8510638297,"37.574345,55.726893000000004"
189534.88372093023,"37.46458,55.869678"
136792.45283018867,"37.738898999999996,55.796257999999995"
108333.33333333333,"37.648385,55.616676"
812519.4105263158,"37.539078,55.747115"
771893.75,"37.588251,55.756341000000006"
167731.62939297126,"37.669971000000004,55.86161"
1050745.4188481676,"37.618507,55.739727"
139583.33333333334,"37.753271999999996,55.70124200000001"
132142.85714285713,"37.573923,55.577490000000004"
129533.67875647669,"37.832449,55.777499"
269865.06746626686,"37.56821,55.768041000000004"
276190.4761904762,"37.635557,55.776537"
197740.1129943503,"37.670277,55.742027"
201550.38759689924,"37.475962,55.709185999999995"
158863.63636363635,"37.343236,55.847235"
159210.52631578947,"37.812507000000004,55.803585"
175454.54545454544,"37.751188,55.716701"
129162.35780765253,"37.622405,55.700877"
163265.30612244896,"37.715516,55.750013"
109649.12280701754,"37.447565999999995,55.81740500000001"
160511.36363636362,"37.819244,55.708227"
137168.14159292035,"37.510421,55.871072"
148606.81114551084,"37.609010999999995,55.892627000000005"
222049.68944099377,"37.818957,55.790879000000004"
143898.30508474575,"37.716144,55.732874"
131421.74432497012,"37.744037,55.652105000000006"
177142.85714285713,"37.548887,55.804218000000006"
543193.7172774869,"37.617292,55.722905000000004"
151862.4641833811,"37.406926,55.712061"
171250.0,"37.593938,55.829537"
131578.94736842104,"37.816082,55.828015"
182222.22222222222,"37.629736,55.788292000000006"
148648.64864864864,"37.827059000000006,55.74739399999999"
163101.60427807487,"37.456361,55.837318"
250000.0,"37.660135,55.792129"
132075.47169811322,"37.769208,55.680981"
447816.2213740458,"37.540828999999995,55.74825"
123076.92307692308,"37.529025,55.874541"
364485.9813084112,"37.527903,55.723237"
353850.0,"37.649076,55.755935"
143333.33333333334,"37.613287,55.60279499999999"
100000.0,"37.430552,55.62185600000001"
142016.80672268907,"37.354644,55.836777000000005"
450000.0,"37.608742,55.778801"
280000.0,"37.591934,55.653934"
205000.0,"37.695393,55.783215000000006"
1111527.0,"37.594279,55.749714000000004"
140625.0,"37.780679,55.700120999999996"
163366.33663366336,"37.386921,55.840786"
225714.7619047619,"37.635363,55.699585"
130625.0,"37.922335,55.704995999999994"
436893.2038834951,"37.680733000000004,55.760569999999994"
161818.18181818182,"37.609577,55.65433"
176562.5,"37.496875,55.870248"
220000.0,"37.636491,55.771818"
170921.73913043478,"37.617123,55.630279"
162500.0,"37.413367,55.72441800000001"
186900.0,"37.706353,55.622766000000006"
104790.0,"37.939370000000004,55.700966"
197500.0,"37.589051,55.875087"
210868.77192982458,"37.672163,55.77629399999999"
544866.1764705882,"37.471740000000004,55.652999"
170000.0,"37.376932000000004,55.84121"
145370.37037037036,"37.85568,55.736017000000004"
233333.33333333334,"37.671669,55.733112"
180208.33333333334,"37.478414,55.863631000000005"
166515.15151515152,"37.536059,55.774294"
719047.619047619,"37.573617999999996,55.72588399999999"
117500.0,"37.254940000000005,55.614526"
133744.85596707818,"37.829404,55.804425"
264044.9438202247,"37.458526,55.786713"
220481.92771084336,"37.600244,55.616026"
204188.48167539266,"37.659838,55.85858399999999"
162500.0,"37.660718,55.634578000000005"
184210.52631578947,"37.505921,55.864111"
229508.19672131148,"37.761123,55.702830000000006"
154761.90476190476,"37.693803,55.88575600000001"
321428.5714285714,"37.548663,55.77493199999999"
117571.05943152454,"37.655814,55.607158"
163580.24691358025,"37.487541,55.567595999999995"
241121.4953271028,"37.59533,55.827408"
125000.0,"37.491161,55.542487"
258000.0,"37.533184999999996,55.671422"
140000.0,"37.566261,55.856836"
640522.8758169934,"37.588817,55.776664000000004"
488235.29411764705,"37.618569,55.722142000000005"
143292.6829268293,"37.828632,55.76643000000001"
188000.0,"37.60452,55.642199"
690272.7272727273,"37.583868,55.735064"
131578.94736842104,"37.36705,55.593202000000005"
234285.7142857143,"37.663737,55.73256"
189027.39726027398,"37.662803000000004,55.748290000000004"
212857.14285714287,"37.444269,55.719682999999996"
241024.39024390245,"37.609047,55.710793"
270759.25925925927,"37.609047,55.710793"
272156.6265060241,"37.609047,55.710793"
269471.4285714286,"37.609047,55.710793"
265722.22222222225,"37.609047,55.710793"
272288.46153846156,"37.608823,55.710027000000004"
241823.07692307694,"37.608823,55.710027000000004"
272288.46153846156,"37.608823,55.710027000000004"
158974.35897435897,"37.58093,55.653746"
114000.0,"37.388906,55.642677"
187878.78787878787,"37.549848,55.607112"
80303.0303030303,"37.5228,55.600816"
419354.8387096774,"37.465802000000004,55.819762"
600000.0,"37.398159,55.769631000000004"
351714.0,"37.549893,55.775397999999996"
395209.6,"37.594423,55.774283999999994"
542857.1428571428,"37.591189,55.730943"
525000.0,"37.591189,55.730943"
545454.5454545454,"37.591189,55.730943"
558139.5348837209,"37.591189,55.730943"
183333.33333333334,"37.47262,55.858270999999995"
177631.57894736843,"37.748232,55.630111"
158750.0,"37.612299,55.894727"
839118.591723286,"37.574345,55.726893000000004"
134545.45454545456,"37.748222999999996,55.623158"
203181.07784431137,"37.635363,55.699585"
148789.5716945996,"37.499784999999996,55.868465"
97482.20802919709,"37.414421000000004,55.633661"
158878.5046728972,"37.343362,55.650408999999996"
268253.9682539682,"37.600109,55.826721"
254488.37398373985,"37.610479,55.710715"
168421.05263157896,"37.640596,55.87953100000001"
127819.54887218046,"37.832306,55.735032999999994"
600000.0,"37.641315000000006,55.739959999999996"
222632.44047619047,"37.635363,55.699585"
194444.44444444444,"37.379213,55.899936"
650000.0,"37.641845,55.73940699999999"
195000.0,"37.461472,55.869915"
529270.6422018348,"37.641845,55.73940699999999"
154589.37198067634,"37.55019,55.906456000000006"
207407.40740740742,"37.615389,55.795793"
458823.49411764706,"37.612829,55.722999"
143603.13315926894,"37.52342,55.87694499999999"
117721.51898734177,"37.742789,55.767215"
243567.7530017153,"37.510152000000005,55.626213"
803782.9654782118,"37.602157,55.742914"
165434.3807763401,"37.741351,55.648453"
771893.7514124294,"37.599740999999995,55.741744"
146875.0,"37.772145,55.728235999999995"
133944.95412844035,"37.819514,55.828081000000005"
182558.13953488372,"37.747451,55.714587"
107500.0,"37.825514,55.696498999999996"
272222.22222222225,"37.561895,55.748031999999995"
340179.7256637168,"37.577597,55.712604000000006"
150000.0,"37.40327,55.84629"
128041.83006535948,"37.538188,55.878177"
859375.0,"37.588431,55.747718000000006"
132132.5825825826,"37.538188,55.878177"
198275.8620689655,"37.570357,55.82410600000001"
